Year,Energy intensity level of primary energy (MJ/$2017 PPP GDP)
2000,7.422788982222222
2001,7.311970551111112
2002,7.150473104444445
2003,7.254049926666667
2004,7.159336368888888
2005,7.055396108888889
2006,6.903286644444444
2007,6.620566388888888
2008,6.557705251111111
2009,6.559915124444444
2010,6.344282444444445
2011,6.2081462755555545
2012,5.994864486666667
2013,5.9208682608695655
2014,5.835459808695652
2015,5.745770149999999
2016,6.011472609620051
2017,5.921690000924399
2018,5.866037827011355
2019,5.823863913967877
2019,5.823863913967877
2020,5.786501927512951
2021,5.7549784858099216
2022,5.729293588858788
2023,5.709447236666826
2024,5.695439429223121
2025,5.687270166531313
2026,5.684939448595038
2027,5.68844727541066
2028,5.697793646981815
2029,5.7129785633048655
2030,5.734002024379812
