Year,Energy intensity level of primary energy (MJ/$2017 PPP GDP)
2000,6.556
2001,6.372
2002,6.29
2003,6.248
2004,6.28
2005,6.15
2006,5.998
2007,5.776
2008,5.6259999999999994
2009,5.568
2010,5.548
2011,5.340000000000001
2012,5.206
2013,5.096000000000001
2014,4.934
2015,4.720000000000001
2016,4.514
2017,4.4159999999999995
2018,4.343999999999999
2019,4.2379999999999995
2019,4.2379999999999995
2020,4.069961084530121
2021,3.897698427883995
2022,3.721212030068898
2023,3.540501891081192
2024,3.3555680109226955
2025,3.166410389595228
2026,2.9730290270933324
2027,2.7754239234242846
2028,2.5735950785808086
2029,2.3675424925665425
2030,2.157266165383305
