Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
China,2000,97.0218,42.0,29.63,1113.3,16.74,225.56,17.874004,9334.936,10.85,3346530.0,5.656925,8.490093406,959.3724836,153,9596960.0,35.86166,104.195397
China,2001,97.27279,42.3,28.36,1182.59,17.47,280.73,20.1379,9797.812,10.36,3529080.0,6.618624,8.335733478,1053.108243,153,9596960.0,35.86166,104.195397
China,2002,97.516205,43.1,27.0,1337.46,25.13,291.41,19.137848,10602.087,10.12,3810060.059,6.2804885,9.13363079,1148.50829,153,9596960.0,35.86166,104.195397
China,2003,97.75438,43.4,23.86,1579.96,43.34,287.28,17.304693,12273.32,10.48,4415910.156,5.3011093,10.03803048,1288.643252,153,9596960.0,35.86166,104.195397
China,2004,97.98967,44.9,20.17,1795.41,50.47,357.43,18.513056,14272.745,10.83,5124819.824,5.60094,10.11362138,1508.668098,153,9596960.0,35.86166,104.195397
China,2005,98.22443,46.3,17.44,2042.8,53.09,404.37,18.296497,16114.158,10.72,5824629.883,5.554481,11.39459181,1753.417829,153,9596960.0,35.86166,104.195397
China,2006,98.46105,47.7,16.39,2364.16,54.84,446.72,17.50206,17552.816,10.41,6437470.215,5.5779824,12.72095567,2099.229435,153,9596960.0,35.86166,104.195397
China,2007,98.7022,49.4,14.88,2718.7,62.13,500.71,17.151705,18955.008,9.81,6993180.176,5.718535,14.23086093,2693.970063,153,9596960.0,35.86166,104.195397
China,2008,98.95058,51.1,14.14,2762.29,68.39,665.08,20.981703,19560.7,9.18,7199600.098,7.268667,9.65067892,3468.304602,153,9596960.0,35.86166,104.195397
China,2009,99.2089,53.5,13.43,2980.2,70.05,664.39,19.7715,20281.068,8.95,7719069.824,6.9355316,9.398725632,3832.236432,153,9596960.0,35.86166,104.195397
China,2010,99.7,55.6,12.26,3326.19,74.74,786.38,20.564993,21551.547,8.93,8474919.922,7.615998,10.63587106,4550.453108,153,9596960.0,35.86166,104.195397
China,2011,99.848724,58.0,11.34,3811.77,87.2,792.38,18.748974,23090.885,8.75,9282549.805,7.084204,9.550832179,5614.352135,153,9596960.0,35.86166,104.195397
China,2012,99.96193,60.7,11.53,3869.38,98.32,999.56,22.102327,23873.234,8.41,9541870.117,8.522597,7.863736449,6300.615118,153,9596960.0,35.86166,104.195397
China,2013,99.996445,63.2,11.45,4203.77,111.5,1093.37,22.276764,24600.36,8.05,9984570.313,8.959421,7.766150098,7020.338485,153,9596960.0,35.86166,104.195397
China,2014,100.0,66.0,11.94,4345.86,133.22,1289.23,24.659735,25072.023,7.69,10006669.92,10.19733,7.425763656,7636.116601,153,9596960.0,35.86166,104.195397
China,2015,100.0,68.4,12.18,4222.76,171.38,1393.66,27.040327,25209.49,7.21,9861099.609,10.787498,7.041328879,8016.431435,153,9596960.0,35.86166,104.195397
China,2016,100.0,70.6,12.56,4355.0,213.18,1522.79,28.500713,25164.803,6.71,9874660.156,11.530947,6.848762205,8094.363367,153,9596960.0,35.86166,104.195397
China,2017,100.0,73.2,13.13,4643.1,248.1,1667.06,29.20226,25987.611,6.51,10096009.77,12.138821,6.947200793,8816.986905,153,9596960.0,35.86166,104.195397
China,2018,100.0,75.6,13.71,4990.28,295.0,1835.32,29.917704,27109.42,6.39,10502929.69,12.807393,6.749773832,9905.342004,153,9596960.0,35.86166,104.195397
China,2019,100.0,77.6,14.45,5098.22,348.7,2014.57,31.672895,28277.445,6.31,10707219.73,13.51596,5.949714233,10143.83817,153,9596960.0,35.86166,104.195397
Germany,2000,100.0,100.0,3.7,367.22,169.61,35.47,35.834354,48903.7,4.0,830280.0,2.8871117,2.912502964,23635.92922,240,357022.0,51.165691,10.451526
Germany,2001,100.0,100.0,3.9,372.69,171.3,37.9,35.951813,49841.387,4.05,847680.0,2.9411676,1.681468481,23607.88286,240,357022.0,51.165691,10.451526
Germany,2002,100.0,100.0,4.41,372.64,164.84,44.48,35.968105,49257.79,3.97,833380.0049,3.538632,-0.197973835,25077.72908,240,357022.0,51.165691,10.451526
Germany,2003,100.0,100.0,5.44,390.81,165.06,46.67,35.139576,49300.902,3.99,836789.978,3.6419897,-0.700116686,30243.57653,240,357022.0,51.165691,10.451526
Germany,2004,100.0,100.0,6.34,385.24,167.07,57.97,36.874874,49342.406,3.97,821070.0073,4.5165977,1.175088132,34044.05363,240,357022.0,51.165691,10.451526
Germany,2005,100.0,100.0,7.28,386.96,163.05,63.4,36.916584,48793.566,3.92,802380.0049,5.2084193,0.731707164,34507.36881,240,357022.0,51.165691,10.451526
Germany,2006,100.0,100.0,8.59,390.03,167.27,72.51,38.0718,50043.03,3.89,814409.9731,6.0263047,3.816441913,36323.44774,240,357022.0,51.165691,10.451526
Germany,2007,100.0,100.0,10.47,402.4,140.53,89.38,36.36033,47958.13,3.58,783799.9878,7.6538334,2.976455131,41587.2129,240,357022.0,51.165691,10.451526
Germany,2008,100.0,100.0,10.25,390.43,148.49,94.28,38.340176,48445.984,3.59,789690.0024,7.8176284,0.959879134,45427.15168,240,357022.0,51.165691,10.451526
Germany,2009,100.0,100.0,10.72,358.07,134.93,95.94,39.200935,45436.277,3.56,734809.9976,8.45428,-5.693836336,41485.90165,240,357022.0,51.165691,10.451526
Germany,2010,100.0,100.0,11.61,378.9,140.56,105.18,39.34106,47305.82,3.6,773070.0073,8.792469,4.179882499,41531.9342,240,357022.0,51.165691,10.451526
